,input,target
1154,كيرلي قوي، لو سمحت.,قوي مجعد ، من فضلك.
1155,هي صغيرة وأمورة.,هي صغيرة ومرضية.
1156,شو عرض الأوبيرا اليوم؟,ما هو عرض الأوبرا اليوم؟
1157,مقلي، لو سمحت.,مجالي ، من فضلك.
1158,غسيلي ما رجع لحد هلأ.,لم أكن أعود إلى الحد.
1159,بالمناسبة، راح تكون فاضي السبت الجاي؟,بالمناسبة ، سوف تكون فارغًا يوم السبت؟
1160,طيب، بعدين، ممكن نضل مع بعض على طول.,حسنًا ، بعدين ، يمكننا القتال معًا.
1161,عاملتني على اني حرامية.,لقد عاملتني على أنها ممنوعة.
1162,فهمت. وكمان، ممكن تساعدني بكمان مشكلة تانية؟,مفهومة. هل يمكنك مساعدتي في مشكلة ثانية؟
1163,ممكن تركبلي عدسات طبية على هاي النظارة الشمسية؟,هل يمكنك تثبيت العدسات الطبية على هذه النظارات الشمسية؟
1164,راح أخد تنتين من هدول.,سوف آخذ تينتين من هذا.
1165,كلاب حلوين. شو نوعهم؟,كلاب حلوة. ما نوعهم؟
1166,أنا انكسرت شوكتي. لو سمحت جبلي وحدة تانية.,لقد كسرت شوكي. إذا سمحت بوحدة ثانية.
1167,هاد كان ممتع.,وكان هذا متعة.
1168,أكيد. امشي دغري ولف يمين من الدخلة التالتة. راح تلاقيه على يمينك.,بالطبع ، خنجر ولف يمين من الدخل التالي. ستقابله على يمينك.
1169,عندك أشرطة للصور الملونة؟,هل لديك أشرطة للصور الملونة؟
1170,بتعرف كاثي؟ هاي حفلة عيد ميلادها.,هل تعرف كاثي؟ مرحبا حفلة عيد ميلادها.
1171,عندك رسم بياني ملون؟,هل لديك رسم بياني ملون؟
1172,بقدر أدفع عن طريق شيك سياحي؟,بينما أدفع شيكًا سياحيًا؟
1173,بس، هو، شخص، كيف بدي أعرف أنه هاد اشي حقيقي؟,ولكن هو ، شخص ، كيف أعرف أنه صحيح؟
1174,بقدر آخده من دون ضريبة؟,طالما آخذها بدون ضريبة؟
1175,أنا ما بقدر أحط شنتي تحت المقعد. ممكن تحتفظلي فيهم، لو سمحت؟,أنا لست بقدر ما كنت تحت المقعد. هل يمكنك الاحتفاظ بهم ، من فضلك؟
1176,ممكن لو سمحت تحطلي الشنتة في شنتة السيارة؟,هل يمكنك السماح لي بوضع الحقيبة في كيس السيارة؟
1177,أنا طالع هلأ، وهيك راح أستلمه.,أرى ، وهنا سأستقبلها.
1178,لو سمحت ابعتلي حدا فوف عشان شنطي الساعة ستة ونص.,من فضلك أرسل لي نهاية لمدة ست ساعات ونص.
1179,حبيت مخطط سان فرانسيسكو والمناطق اللي حواليها.,أحببت مخطط سان فرانسيسكو والمناطق المحيطة به.
1180,شو نوع الخبز اللي عندك؟,أي نوع من الخبز لديك؟
1181,وين المصعد؟,أين المصعد؟
1182,في أي حدا بقدر يعزف بيانو؟,في أي مدى يلعب البيانو؟
1183,بأي محطة لازم أنزل عشان أروح على امباير ستيت بيلدينج؟,ما هي المحطة التي يجب أن أذهب إليها للذهاب إلى مبنى Empire State؟
1184,الميزانية أقل من ألف دولار.,الميزانية أقل من ألف دولار.
1185,شكراً الك، بس ما بتوقع أنه معي وقت عشان أضل ليلتين. ممكن تحجزلي غرفة مزدوجة في الفندق لليلة اطنعش مارس بس؟,شكرًا لك ، لكنني لم أكن أتوقع أن يكون لدي وقت لأضله لمدة ليلتين. هل يمكنك حجز غرفة مزدوجة في الفندق طوال الليل ، هل تعيش؟
1186,ممكن أحجز غرفة مزدوجة مطلة على البحر؟,هل يمكنني حجز غرفة مزدوجة تطل على البحر؟
1187,لسا ما قررنا لهلأ.,نحن لسنا ما قررنا.
1188,صاحبي وقع وصار عنده التواء بالكاحل.,سقط صديقي ولديه التواء في الكاحل.
1189,بدي أجرب عصير غازي.,أريد أن أجرب عصير الغازي.
1190,في هون مطعم تايلندي قريب؟,في هون ، مطعم تايلاندي بالقرب من؟
1191,على اليمبن جنب البناية الطويلة. وبهيك، ارجع مرة تانية نفس الطريق اللي اجيت منه لعند ما تلاقي الاشارات. وبعدها روح يسار.,على الجانب الأيمن من المبنى الطويل. لا أحب ، أعود مرة أخرى بالطريقة نفسها التي أتيت بها ، لما تم تلبية العلامات. ثم الروح اليسرى.
1192,لازم ألاقي طيارة على لوس أنجلوس بكرا الصبح بكير.,لا بد لي من العثور على طائرة في لوس أنجلوس باكرا آل سابا باكر.
1193,"انا أكيد بنصحك ب ""جولة مدينة سان فراسيسكو"" هاي. رح تعطيك لمحة عن سان فرانسيسكو.","أنا متأكد من أن أنصحك بـ ""San Francisco City Tour"" مرحبًا ، سوف يعطيك لمحة عن سان فرانسيسكو."
1194,بدي أعمل تأمين.,اريد ان اعمل.
1195,خليني أحط كمادة باردة عشان يخف الوجع.,اسمحوا لي أن أضع مادة باردة لتقليل الألم.
1196,هي بدها تشتري فستان.,إنها تريد شراء فستان.
1197,كم بكلف التكسي لعند الفندق؟,كم تكلفة التاكسي للفندق؟
1198,وين الحمام؟,أين الحمام؟
1199,بكلف أي اشي عشان أدخل هاي البناية؟,أنا كلفت أي شيء للدخول هذا المبنى؟
